rate	Elapsed time	Elapsed time	Pressure
STm3/day	sec	hr	barg
0	74186.4	20.6073	196.995
0	74453.2	20.6814	197.1
0	74752.5	20.7646	197.201
0	75088.3	20.8579	197.3
0	75465.2	20.9626	197.395
0	75888	21.08	197.489
0	76362.4	21.2118	197.58
0	76894.7	21.3596	197.67
0	77491.9	21.5255	197.757
0	78162.1	21.7117	197.843
0	78914	21.9205	197.927
0	79757.6	22.1549	198.01
0	80704.1	22.4178	198.09
0	81766.2	22.7128	198.168
0	82957.9	23.0439	198.244
0	84294.9	23.4153	198.319
0	85795.1	23.832	198.39
0	87478.4	24.2996	198.46
0	89367.1	24.8242	198.528
0	91486.2	25.4128	198.593
0	93646.2	26.0128	198.651
0	95806.2	26.6128	198.703
0	97966.2	27.2128	198.748
0	100126	27.8128	198.789
0	102286	28.4128	198.826
0	104446	29.0128	198.861
0	106606	29.6128	198.892
0	108766	30.2128	198.921
0	110926	30.8128	198.949
0	113086	31.4128	198.974
0	115246	32.0128	198.998
0	117406	32.6128	199.021
0	119566	33.2128	199.042
0	121726	33.8128	199.062
0	123886	34.4128	199.081
0	126046	35.0128	199.1
0	128206	35.6128	199.117
0	130366	36.2128	199.134
0	132526	36.8128	199.15
0	134686	37.4128	199.165
0	136846	38.0128	199.179
0	139006	38.6128	199.194
0	141166	39.2128	199.207
0	143326	39.8128	199.22
0	145486	40.4128	199.233
0	147646	41.0128	199.245
0	149806	41.6128	199.257
0	151966	42.2128	199.268
0	154126	42.8128	199.279
0	156286	43.4128	199.289
0	158446	44.0128	199.3
0	160606	44.6128	199.31
0	162766	45.2128	199.319
0	164926	45.8128	199.329
0	167086	46.4128	199.338
0	169246	47.0128	199.347
0	171406	47.6128	199.355
0	173566	48.2128	199.364
0	175726	48.8128	199.372
0	177886	49.4128	199.38
0	180046	50.0128	199.388
0	182206	50.6128	199.395
0	184366	51.2128	199.402
0	186526	51.8128	199.41
0	188686	52.4128	199.417
0	190846	53.0128	199.423
0	193006	53.6128	199.43
0	195166	54.2128	199.437
0	197326	54.8128	199.443
0	199486	55.4128	199.449
0	201646	56.0128	199.455
0	203806	56.6128	199.461
0	205966	57.2128	199.467
0	208126	57.8128	199.472
0	210286	58.4128	199.478
0	212446	59.0128	199.483
0	214606	59.6128	199.489
0	215303	59.8064	199.49
0	216000	60	199.492
100	216000	60.0001	199.431
100	216001	60.0002	199.37
100	216001	60.0004	199.31
100	216002	60.0005	199.25
100	216002	60.0006	199.189
100	216003	60.0007	199.129
100	216003	60.0008	199.07
100	216003	60.001	199.01
100	216004	60.0011	198.95
100	216004	60.0012	198.885
100	216005	60.0014	198.812
100	216005	60.0015	198.731
100	216006	60.0017	198.64
100	216007	60.0019	198.538
100	216008	60.0022	198.425
100	216009	60.0024	198.298
100	216010	60.0027	198.156
100	216011	60.003	197.999
100	216012	60.0034	197.823
100	216014	60.0038	197.628
100	216015	60.0043	197.411
100	216017	60.0048	197.17
100	216019	60.0054	196.903
100	216022	60.0061	196.606
100	216025	60.0068	196.279
100	216028	60.0076	195.916
100	216031	60.0086	195.517
100	216035	60.0096	195.078
100	216039	60.0108	194.596
100	216044	60.0121	194.067
100	216049	60.0136	193.49
100	216055	60.0153	192.862
100	216062	60.0171	192.179
100	216069	60.0192	191.441
100	216078	60.0215	190.646
100	216087	60.0242	189.793
100	216098	60.0271	188.884
100	216110	60.0304	187.919
100	216123	60.0342	186.902
100	216138	60.0383	185.838
100	216155	60.043	184.732
100	216174	60.0482	183.594
100	216195	60.0541	182.432
100	216219	60.0607	181.259
100	216245	60.0681	180.087
100	216275	60.0765	178.93
100	216309	60.0858	177.802
100	216347	60.0963	176.717
100	216389	60.108	175.687
100	216436	60.1212	174.722
100	216489	60.136	173.831
100	216549	60.1526	173.019
100	216616	60.1712	172.288
100	216691	60.1921	171.637
100	216776	60.2155	171.061
100	216870	60.2418	170.555
100	216977	60.2713	170.111
100	217096	60.3044	169.721
100	217229	60.3415	169.376
100	217380	60.3832	169.067
100	217548	60.43	168.787
100	217737	60.4824	168.53
100	217949	60.5413	168.29
100	218186	60.6073	168.063
100	218453	60.6814	167.846
100	218752	60.7646	167.635
100	219088	60.8579	167.43
100	219465	60.9626	167.229
100	219888	61.08	167.032
100	220362	61.2118	166.837
100	220895	61.3596	166.645
100	221492	61.5255	166.454
100	222162	61.7117	166.266
100	222914	61.9205	166.079
100	223758	62.1549	165.895
100	224704	62.4178	165.711
100	225766	62.7128	165.529
100	226958	63.0439	165.349
100	228295	63.4153	165.169
100	229795	63.832	164.99
100	231478	64.2996	164.813
100	233367	64.8242	164.635
100	235486	65.4128	164.457
100	237646	66.0128	164.294
100	239806	66.6128	164.146
100	241966	67.2128	164.01
100	244126	67.8128	163.883
100	246286	68.4128	163.765
100	248446	69.0128	163.653
100	250606	69.6128	163.548
100	252766	70.2128	163.448
100	254926	70.8128	163.352
100	257086	71.4128	163.261
100	259246	72.0128	163.173
100	261406	72.6128	163.088
100	263566	73.2128	163.007
100	265726	73.8128	162.928
100	267886	74.4128	162.852
100	270046	75.0128	162.778
100	272206	75.6128	162.707
100	274366	76.2128	162.637
100	276526	76.8128	162.569
100	278686	77.4128	162.503
100	280846	78.0128	162.439
100	283006	78.6128	162.376
100	285166	79.2128	162.315
100	287326	79.8128	162.255
100	287663	79.9064	162.246
100	288000	80	162.237
0	288000	80.0001	162.298
0	288001	80.0002	162.359
0	288001	80.0004	162.419
0	288002	80.0005	162.479
0	288002	80.0006	162.54
0	288003	80.0007	162.6
0	288003	80.0008	162.659
0	288003	80.001	162.719
0	288004	80.0011	162.779
0	288004	80.0012	162.844
0	288005	80.0014	162.917
0	288005	80.0015	162.998
0	288006	80.0017	163.089
0	288007	80.0019	163.191
0	288008	80.0022	163.304
0	288009	80.0024	163.431
0	288010	80.0027	163.572
0	288011	80.003	163.73
0	288012	80.0034	163.905
0	288014	80.0038	164.101
0	288015	80.0043	164.318
0	288017	80.0048	164.559
0	288019	80.0054	164.826
0	288022	80.0061	165.122
0	288025	80.0068	165.45
0	288028	80.0076	165.812
0	288031	80.0086	166.211
0	288035	80.0096	166.65
0	288039	80.0108	167.132
0	288044	80.0121	167.661
0	288049	80.0136	168.238
0	288055	80.0153	168.866
0	288062	80.0171	169.548
0	288069	80.0192	170.286
0	288078	80.0215	171.081
0	288087	80.0242	171.934
0	288098	80.0271	172.843
0	288110	80.0304	173.807
0	288123	80.0342	174.824
0	288138	80.0383	175.888
0	288155	80.043	176.993
0	288174	80.0482	178.131
0	288195	80.0541	179.292
0	288219	80.0607	180.465
0	288245	80.0681	181.636
0	288275	80.0765	182.792
0	288309	80.0858	183.919
0	288347	80.0963	185.004
0	288389	80.108	186.033
0	288436	80.1212	186.996
0	288489	80.136	187.886
0	288549	80.1526	188.696
0	288616	80.1712	189.426
0	288691	80.1921	190.075
0	288776	80.2155	190.649
0	288870	80.2418	191.153
0	288977	80.2713	191.594
0	289096	80.3044	191.981
0	289229	80.3415	192.323
0	289380	80.3832	192.628
0	289548	80.43	192.904
0	289737	80.4824	193.156
0	289949	80.5413	193.391
0	290186	80.6073	193.612
0	290453	80.6814	193.824
0	290752	80.7646	194.027
0	291088	80.8579	194.224
0	291465	80.9626	194.416
0	291888	81.08	194.603
0	292362	81.2118	194.786
0	292895	81.3596	194.966
0	293492	81.5255	195.142
0	294162	81.7117	195.315
0	294914	81.9205	195.484
0	295758	82.1549	195.65
0	296704	82.4178	195.811
0	297766	82.7128	195.969
0	298958	83.0439	196.123
0	300295	83.4153	196.273
0	301795	83.832	196.419
0	303478	84.2996	196.56
0	305367	84.8242	196.698
0	307486	85.4128	196.831
0	309646	86.0128	196.95
0	311806	86.6128	197.055
0	313966	87.2128	197.148
0	316126	87.8128	197.233
0	318286	88.4128	197.31
0	320446	89.0128	197.38
0	322606	89.6128	197.446
0	324766	90.2128	197.506
0	326926	90.8128	197.563
0	329086	91.4128	197.616
0	331246	92.0128	197.666
0	333406	92.6128	197.714
0	335566	93.2128	197.758
0	337726	93.8128	197.801
0	339886	94.4128	197.841
0	342046	95.0128	197.88
0	344206	95.6128	197.917
0	346366	96.2128	197.952
0	348526	96.8128	197.986
0	350686	97.4128	198.018
0	352846	98.0128	198.049
0	355006	98.6128	198.079
0	357166	99.2128	198.108
0	359326	99.8128	198.136
0	361486	100.413	198.163
0	363646	101.013	198.189
0	365806	101.613	198.215
0	367966	102.213	198.239
0	370126	102.813	198.263
0	372286	103.413	198.286
0	374446	104.013	198.308
0	376606	104.613	198.33
0	378766	105.213	198.351
0	380926	105.813	198.371
0	383086	106.413	198.391
0	385246	107.013	198.41
0	387406	107.613	198.429
0	389566	108.213	198.447
0	391726	108.813	198.465
0	393886	109.413	198.483
0	396046	110.013	198.499
0	398206	110.613	198.516
0	400366	111.213	198.532
0	402526	111.813	198.548
0	404686	112.413	198.563
0	406846	113.013	198.578
0	409006	113.613	198.593
0	411166	114.213	198.608
0	413326	114.813	198.622
0	415486	115.413	198.635
0	417646	116.013	198.649
0	419806	116.613	198.662
0	421966	117.213	198.675
0	424126	117.813	198.688
0	426286	118.413	198.7
0	428446	119.013	198.712
0	430606	119.613	198.724
0	432000	120	198.731
